 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,sample_img_03.tif:1_Normal,1917.981,146.944,16.253,30,204,168.120,56.714,1,657,158,39.619,41.262
2,sample_img_03.tif:2_Abnormal,1053.066,140.139,15.011,47,203,124.477,42.039,1,111,99,20.938,32.915
3,sample_img_03.tif:3_Abnormal,786.454,123.241,18.864,38,200,107.677,36.974,1,248,115,15.269,29.417
4,sample_img_03.tif:4_Normal,1627.984,143.353,12.867,61,196,154.497,51.430,1,432,255,84.447,41.234
5,sample_img_03.tif:5_Normal,1498.062,143.446,13.949,33,197,147.758,47.538,1,151,127,125.566,41.796
6,sample_img_03.tif:6_Abnormal,2187.747,145.668,13.514,49,204,186.323,61.648,1,765,316,39.516,47.533
7,sample_img_03.tif:7_Normal,882.222,142.344,13.326,48,195,112.622,35.764,1,331,289,84.677,31.798
8,sample_img_03.tif:8_Abnormal,1193.911,142.333,13.150,57,193,133.930,48.368,1,512,334,65.335,31.664
9,sample_img_03.tif:9_Normal,1324.294,143.840,9.887,44,194,140.178,45.278,1,81,359,79.444,39.564
10,sample_img_03.tif:10_Abnormal,2076.056,148.338,11.374,46,206,177.509,59.914,1,645,215,98.492,45.100
11,sample_img_03.tif:11_Normal,1500.216,145.395,11.877,55,195,151.325,52.275,1,301,414,35.456,38.340
12,sample_img_03.tif:12_Normal,1059.682,138.443,15.823,55,197,123.104,40.183,1,227,415,66.047,34.008
13,sample_img_03.tif:13_Normal,1923.365,152.014,13.064,61,202,166.673,51.365,1,785,419,11.560,48.685
14,sample_img_03.tif:14_Abnormal,829.992,134.681,14.489,69,194,112.856,37.630,1,121,355,120.954,28.215
15,sample_img_03.tif:15_Normal,1284.372,148.323,13.133,49,199,136.205,43.608,1,523,372,138.434,37.772
16,sample_img_03.tif:16_Normal,1276.679,145.305,13.524,55,199,137.042,44.506,1,369,493,39.612,39.168
17,sample_img_03.tif:17_Normal,1489.908,144.090,12.351,49,201,149.136,50.567,1,698,565,70.183,37.313
18,sample_img_03.tif:18_Abnormal,951.606,135.754,15.906,41,191,116.369,37.834,1,229,446,140.775,32.415
19,sample_img_03.tif:19_Normal,1236.295,139.395,17.413,42,191,136.401,48.606,1,737,578,10.220,33.708
20,sample_img_03.tif:20_Normal,1598.753,145.126,13.372,25,191,153.449,53.685,1,342,539,150.508,37.974
21,sample_img_03.tif:21_Abnormal,1160.834,138.351,14.631,33,193,130.254,40.899,1,589,653,69.831,37.761
22,sample_img_03.tif:22_Abnormal,832.684,130.978,20.984,41,196,118.929,41.348,1,158,710,79.208,25.471
23,sample_img_03.tif:23_Abnormal,904.606,137.356,20.035,31,198,125.360,45.139,1,630,648,3.180,30.214
24,sample_img_03.tif:24_Normal,816.838,135.696,15.046,38,185,112.079,37.806,1,216,586,108.330,31.829
25,sample_img_03.tif:25_Normal,1854.366,154.414,13.905,32,199,166.158,57.927,1,703,707,157.107,42.358
26,sample_img_03.tif:26_Abnormal,1159.373,135.867,17.965,15,183,133.069,43.748,1,316,642,93.261,34.701
27,sample_img_03.tif:27_Normal,1220.680,139.890,18.600,25,184,135.370,46.815,1,494,726,158.014,33.660
28,sample_img_03.tif:28_Normal,1022.759,139.002,11.502,103,202,119.648,37.280,1,165,708,124.827,35.369
29,sample_img_03.tif:29_Normal,1105.835,140.298,15.166,32,178,126.563,41.111,1,351,824,21.851,33.869
30,sample_img_03.tif:30_Normal,333.920,139.340,11.594,102,191,82.689,33.302,1,669,773,116.638,17.256
31,sample_img_03.tif:31_Normal,1601.676,148.048,13.180,23,190,155.953,51.859,1,438,924,22.721,41.624
32,sample_img_03.tif:32_Normal,787.069,137.509,20.359,37,194,122.920,45.586,1,717,818,155.481,25.683
33,sample_img_03.tif:33_Normal,1353.909,141.763,12.765,49,196,139.772,46.446,1,27,879,173.811,37.286
34,sample_img_03.tif:34_Normal,1331.987,145.555,14.591,38,195,141.955,44.884,1,580,944,14.722,39.917
35,sample_img_03.tif:35_Abnormal,206.459,127.975,18.666,56,172,62.267,20.929,1,18,953,152.274,13.557
