 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,sample_img_01.tif:1_Abnormal,1639.753,146.750,15.639,38,193,163.574,53.906,1,175,144,21.813,42.466
2,sample_img_01.tif:2_Abnormal,637.917,142.979,14.893,55,203,111.010,41.125,1,854,101,165.505,22.030
3,sample_img_01.tif:3_Abnormal,629.686,136.925,18.515,59,197,102.869,35.182,1,360,84,106.905,23.901
4,sample_img_01.tif:4_Abnormal,2004.749,145.146,13.459,38,201,174.823,58.701,1,413,235,33.025,48.772
5,sample_img_01.tif:5_Abnormal,2069.594,148.737,13.555,44,201,178.366,62.747,1,783,143,162.985,45.849
6,sample_img_01.tif:6_Normal,1119.604,144.873,12.988,42,185,132.287,43.068,1,678,271,59.949,34.068
7,sample_img_01.tif:7_Abnormal,505.841,137.097,15.958,61,197,102.229,38.160,1,600,257,61.902,18.143
8,sample_img_01.tif:8_Normal,1535.061,146.135,13.780,37,204,155.133,53.397,1,112,258,24.305,40.792
9,sample_img_01.tif:9_Abnormal,2233.824,146.863,11.711,67,203,190.196,70.663,1,208,375,39.921,39.755
10,sample_img_01.tif:10_Abnormal,1210.142,145.255,14.297,32,195,141.090,49.741,1,677,273,168.057,34.024
11,sample_img_01.tif:11_Abnormal,428.534,136.996,20.954,48,187,85.171,28.511,1,421,339,84.435,20.340
12,sample_img_01.tif:12_Abnormal,519.226,118.324,24.195,25,194,106.607,41.581,1,472,354,45.716,17.154
13,sample_img_01.tif:13_Normal,1602.599,145.712,12.113,39,195,158.684,55.838,1,525,405,40.744,41.774
14,sample_img_01.tif:14_Abnormal,1512.215,140.232,13.408,40,188,149.432,51.459,1,27,289,156.755,39.307
15,sample_img_01.tif:15_Abnormal,680.916,133.050,18.031,49,190,109.236,39.569,1,283,423,29.946,24.547
16,sample_img_01.tif:16_Abnormal,788.377,137.536,13.137,58,194,108.115,36.807,1,448,351,93.877,27.302
17,sample_img_01.tif:17_Abnormal,1211.372,142.838,11.687,59,190,138.004,51.581,1,663,437,11.196,32.503
18,sample_img_01.tif:18_Abnormal,318.920,124.487,22.609,41,202,78.726,26.979,1,7,402,114.847,18.850
19,sample_img_01.tif:19_Abnormal,783.607,145.647,9.128,98,195,112.979,38.287,1,795,472,8.356,29.666
20,sample_img_01.tif:20_Abnormal,731.839,138.378,16.117,39,196,115.430,42.498,1,502,478,21.505,26.086
21,sample_img_01.tif:21_Abnormal,1670.214,144.050,11.768,26,197,155.807,50.003,1,100,581,65.846,41.925
22,sample_img_01.tif:22_Abnormal,875.145,134.304,15.185,30,185,112.360,37.834,1,231,447,140.775,31.550
23,sample_img_01.tif:23_Abnormal,540.071,134.982,17.808,43,194,93.618,34.170,1,581,528,47.807,20.793
24,sample_img_01.tif:24_Normal,1100.912,141.168,7.347,83,189,130.109,43.741,1,723,611,62.926,34.738
25,sample_img_01.tif:25_Normal,1257.603,138.579,12.066,44,187,134.682,42.842,1,806,611,36.222,38.357
26,sample_img_01.tif:26_Normal,413.150,125.753,27.031,17,188,83.366,30.710,1,337,615,73.793,19.755
27,sample_img_01.tif:27_Abnormal,538.379,126.343,22.444,33,202,93.434,32.335,1,384,622,50.744,22.546
28,sample_img_01.tif:28_Normal,1583.369,147.259,13.692,47,193,152.570,49.605,1,172,594,156.885,42.425
29,sample_img_01.tif:29_Normal,1503.062,143.069,10.633,67,182,149.172,48.395,1,424,692,37.959,42.009
30,sample_img_01.tif:30_Abnormal,1337.294,135.583,14.592,35,197,150.850,52.788,1,580,564,106.430,35.466
31,sample_img_01.tif:31_Normal,1253.757,143.523,12.730,39,194,137.322,47.098,1,38,598,140.800,34.974
32,sample_img_01.tif:32_Normal,1360.448,145.104,11.104,53,170,141.010,46.916,1,744,644,132.668,38.897
33,sample_img_01.tif:33_Abnormal,487.072,131.788,20.057,25,174,91.427,35.325,1,887,759,51.231,21.271
34,sample_img_01.tif:34_Abnormal,1769.290,140.886,11.953,37,185,160.661,55.148,1,282,791,14.610,42.008
35,sample_img_01.tif:35_Abnormal,1047.759,142.880,12.936,49,191,129.104,45.815,1,478,823,51.566,29.854
36,sample_img_01.tif:36_Abnormal,972.375,137.208,13.880,52,185,124.334,43.463,1,633,746,154.605,30.525
37,sample_img_01.tif:37_Abnormal,934.452,137.872,15.273,34,176,118.894,40.619,1,89,723,152.242,29.535
38,sample_img_01.tif:38_Normal,366.304,137.635,8.383,86,177,79.115,30.330,1,787,821,12.717,16.353
39,sample_img_01.tif:39_Abnormal,593.148,133.939,15.026,43,194,102.242,37.453,1,31,870,4.687,22.127
40,sample_img_01.tif:40_Abnormal,651.840,131.591,16.059,43,171,101.308,33.781,1,558,918,19.734,27.144
41,sample_img_01.tif:41_Abnormal,555.456,129.831,13.135,59,196,94.168,33.521,1,178,860,160.107,20.986
42,sample_img_01.tif:42_Abnormal,397.150,124.565,17.050,59,177,81.454,28.897,1,501,912,40.894,20.944
43,sample_img_01.tif:43_Abnormal,851.684,137.628,20.117,30,174,110.335,37.805,1,335,898,168.540,29.211
44,sample_img_01.tif:44_Abnormal,348.073,137.813,15.351,65,193,77.551,27.832,1,81,942,38.296,16.395
45,sample_img_01.tif:45_Abnormal,490.918,130.186,18.297,28,169,91.191,35.148,1,703,902,141.875,18.042
46,sample_img_01.tif:46_Abnormal,248.305,129.108,19.377,43,188,61.982,20.816,1,900,954,58.799,16.658
