 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,sample_img_02.tif:1_Abnormal,596.763,130.999,23.555,51,203,107.840,44.137,1,17,169,65.183,20.491
2,sample_img_02.tif:2_Abnormal,1734.136,148.824,15.256,19,200,165.093,60.180,1,226,43,149.743,39.000
3,sample_img_02.tif:3_Abnormal,1204.219,140.695,13.490,56,170,131.668,41.960,1,654,135,174.292,37.969
4,sample_img_02.tif:4_Abnormal,2810.049,145.529,17.164,19,174,204.027,70.310,1,27,203,2.721,52.023
5,sample_img_02.tif:5_Abnormal,1440.909,142.578,13.801,41,176,148.326,51.758,1,887,307,56.982,39.547
6,sample_img_02.tif:6_Abnormal,885.606,144.448,12.723,47,182,115.488,39.260,1,430,176,141.422,29.874
7,sample_img_02.tif:7_Normal,471.764,142.137,14.816,49,165,86.633,28.570,1,840,159,96.669,22.292
8,sample_img_02.tif:8_Abnormal,1845.366,144.190,18.263,39,198,167.559,55.721,1,280,192,140.277,44.654
9,sample_img_02.tif:9_Abnormal,708.070,132.001,15.274,42,179,113.097,42.849,1,536,295,40.976,25.649
10,sample_img_02.tif:10_Normal,2722.896,146.729,10.031,36,184,219.788,80.351,1,652,195,140.427,46.415
11,sample_img_02.tif:11_Abnormal,330.227,126.389,22.659,33,183,72.057,25.915,1,435,320,16.207,17.230
12,sample_img_02.tif:12_Abnormal,859.453,144.837,15.178,63,187,115.728,41.409,1,555,347,174.216,25.594
13,sample_img_02.tif:13_Abnormal,1989.057,142.489,17.063,26,182,183.017,68.346,1,121,412,5.606,37.386
14,sample_img_02.tif:14_Abnormal,747.762,131.787,18.775,48,186,114.085,42.794,1,401,400,17.010,22.942
15,sample_img_02.tif:15_Abnormal,2962.970,150.104,15.428,36,197,226.024,83.586,1,485,478,7.074,49.336
16,sample_img_02.tif:16_Abnormal,467.688,132.838,19.871,39,180,92.036,36.436,1,6,408,158.970,17.836
17,sample_img_02.tif:17_Abnormal,193.383,128.756,18.576,54,167,56.017,20.649,1,865,428,7.743,14.434
18,sample_img_02.tif:18_Abnormal,549.379,138.088,17.684,43,182,91.306,31.058,1,937,499,58.315,24.056
19,sample_img_02.tif:19_Abnormal,608.609,138.803,11.251,61,172,96.349,33.032,1,774,476,11.662,24.039
20,sample_img_02.tif:20_Abnormal,1446.678,138.322,16.415,33,189,157.683,53.268,1,218,494,7.502,33.230
21,sample_img_02.tif:21_Abnormal,546.918,139.746,15.597,44,188,92.705,32.329,1,425,569,86.568,22.055
22,sample_img_02.tif:22_Abnormal,2059.287,144.868,12.482,45,182,171.438,53.946,1,104,488,111.026,48.875
23,sample_img_02.tif:23_Abnormal,1563.677,140.857,12.291,63,173,149.967,49.134,1,696,558,157.355,41.876
24,sample_img_02.tif:24_Abnormal,967.683,142.162,10.886,93,192,131.208,47.121,1,451,679,47.561,28.240
25,sample_img_02.tif:25_Normal,2124.902,146.893,13.178,49,179,184.663,68.214,1,220,701,29.839,42.025
26,sample_img_02.tif:26_Abnormal,2813.741,149.871,13.696,18,191,207.323,68.057,1,582,806,72.259,55.444
27,sample_img_02.tif:27_Abnormal,649.455,134.160,14.469,64,187,107.648,43.616,1,6,601,131.731,19.119
28,sample_img_02.tif:28_Abnormal,449.457,129.312,14.997,38,178,86.101,31.273,1,845,680,164.521,20.304
29,sample_img_02.tif:29_Abnormal,1875.058,143.419,16.734,39,195,176.254,61.575,1,632,829,24.277,37.141
30,sample_img_02.tif:30_Normal,1386.601,151.531,11.863,46,182,146.214,51.204,1,408,744,159.984,38.205
31,sample_img_02.tif:31_Abnormal,1136.835,135.558,15.478,33,187,128.879,41.501,1,168,698,112.319,34.713
32,sample_img_02.tif:32_Normal,1427.524,149.208,12.919,34,192,146.112,49.397,1,254,835,30.456,36.511
33,sample_img_02.tif:33_Normal,1873.212,144.896,13.468,41,198,168.168,54.986,1,737,897,7.851,42.030
34,sample_img_02.tif:34_Abnormal,1491.677,150.272,10.769,46,196,149.379,53.626,1,361,906,5.657,34.683
35,sample_img_02.tif:35_Abnormal,906.914,139.903,15.817,52,176,113.546,36.901,1,553,914,14.852,30.869
